Unnamed: 0,Un_Named,Date,Infrastructure_Machineries,Daily_Sales_Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region
4,4,1/1/2019,Compactors,0.034463806,68,35,1,1,5000.56,CUST00005,Davidberg
10,10,,Compactors,0.038629891,75,35,1,1,5000.56,CUST00011,Johnberg
16,16,1/3/2019,Compactors,0.025637758,58,35,1,1,5000.56,CUST00017,Grahamfurt
22,22,,Compactors,0.028812108,58,35,1,1,5000.56,CUST00023,South Veronica
28,28,1/5/2019,Compactors,0.03216967,74,35,1,1,5000.56,CUST00029,Mariomouth
34,34,1/6/2019,Compactors,0.030429155,64,35,1,1,5000.56,CUST00035,Kimberlymouth
40,40,,Compactors,-0.032918451,25,35,1,1,5000.56,CUST00041,West Colton
46,46,1/8/2019,Compactors,0.029616648,63,35,1,1,5000.56,CUST00047,West Denisebury
52,52,1/9/2019,Compactors,0.024112317,71,35,1,1,5000.56,CUST00053,Alexandertown
58,58,1/10/2019,Compactors,0.0310465,58,35,1,1,5000.56,CUST00059,New Alicia
64,64,1/11/2019,Compactors,0.037721796,76,35,1,1,5000.56,CUST00065,West Elizabeth
70,70,,Compactors,0.035710445,74,35,1,1,5000.56,CUST00071,New Jacob
76,76,1/13/2019,Compactors,0.028760331,52,35,1,1,5000.56,CUST00077,Richardsonland
82,82,1/14/2019,Compactors,0.026968037,55,35,1,1,5000.56,CUST00083,Port Ronaldshire
88,88,,Compactors,0.030620333,74,35,1,1,5000.56,CUST00089,Thomashaven
94,94,1/16/2019,Compactors,0.032464403,85,35,1,1,5000.56,CUST00095,Walkershire
100,100,3/15/2025,Compactors,-0.0378373,39,35,1,1,5000.56,CUST00101,South Jamieside
106,106,1/18/2019,Compactors,0.03203027,70,35,1,1,5000.56,CUST00107,Lewismouth
112,112,1/19/2019,Compactors,0.029959176,62,35,1,1,5000.56,CUST00113,Brianmouth
118,118,1/20/2019,Compactors,0.034874042,84,35,1,1,5000.56,CUST00119,Timothyberg
124,124,1/21/2019,Compactors,0.02726277,64,35,1,1,5000.56,CUST00125,Vegaborough
