Unnamed: 0,Un_Named,Date,Infrastructure_Machineries,Daily_Sales_Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region
1,1,1/1/2019,Excavators(crawler),0.034463806,80,35,1,1,5000.56,CUST00002,North Ryanstad
7,7,1/2/2019,Excavators(crawler),0.038629891,68,35,1,1,5000.56,CUST00008,Stevenshire
13,13,1/3/2019,Excavators(crawler),0.025637758,85,35,1,1,5000.56,CUST00014,East Sabrinaland
19,19,1/4/2019,Excavators(crawler),0.028812108,80,35,1,1,5000.56,CUST00020,West Amanda
25,25,3/15/2025,Excavators(crawler),0.03216967,60,35,1,1,5000.56,CUST00026,Lake Bryanberg
31,31,1/6/2019,Excavators(crawler),0.030429155,77,35,1,1,5000.56,CUST00032,Luisview
37,37,1/7/2019,Excavators(crawler),0.032918451,86,35,1,1,5000.56,CUST00038,Scottborough
43,43,1/8/2019,Excavators(crawler),0.029616648,64,35,1,1,5000.56,CUST00044,Kiaraton
49,49,1/9/2019,Excavators(crawler),0.024112317,75,35,1,1,5000.56,CUST00050,Dwaynemouth
55,55,1/10/2019,Excavators(crawler),0.0310465,71,35,1,1,5000.56,CUST00056,Stevenfurt
61,61,1/11/2019,Excavators(crawler),0.037721796,81,35,1,1,5000.56,CUST00062,West Carlosshire
67,67,1/12/2019,Excavators(crawler),0.035710445,70,35,1,1,5000.56,CUST00068,Meganland
73,73,1/13/2019,Excavators(crawler),0.028760331,68,35,1,1,5000.56,CUST00074,Annaburgh
79,79,1/14/2019,Excavators(crawler),0.026968037,75,35,1,1,5000.56,CUST00080,New Jeremiah
85,85,1/15/2019,Excavators(crawler),0.030620333,86,35,1,1,5000.56,CUST00086,Alexandramouth
91,91,1/16/2019,Excavators(crawler),0.032464403,46,35,1,1,5000.56,CUST00092,Port Jennaborough
97,97,1/17/2019,Excavators(crawler),0.0378373,80,35,1,1,5000.56,CUST00098,Port Darrenmouth
103,103,1/18/2019,Excavators(crawler),0.03203027,69,35,1,1,5000.56,CUST00104,East Lawrenceside
109,109,1/19/2019,Excavators(crawler),0.029959176,71,35,1,1,5000.56,CUST00110,Port Chad
115,115,1/20/2019,Excavators(crawler),0.034874042,76,35,1,1,5000.56,CUST00116,Silvashire
121,121,1/21/2019,Excavators(crawler),0.02726277,65,35,1,1,5000.56,CUST00122,Mossfurt
127,127,1/22/2019,Excavators(crawler),0.029110823,70,35,1,1,5000.56,CUST00128,Lake Brian
133,133,1/23/2019,Excavators(crawler),0.027370308,65,35,1,1,5000.56,CUST00134,Brendaland
139,139,1/24/2019,Excavators(crawler),0.033687145,78,35,1,1,5000.56,CUST00140,New Zacharyville
145,145,1/25/2019,Excavators(crawler),0.037494772,68,35,1,1,5000.56,CUST00146,Sandersland
151,151,1/26/2019,Excavators(crawler),0.035355969,73,35,1,1,5000.56,CUST00152,East Daniel
157,157,1/27/2019,Excavators(crawler),0.036180424,67,35,1,1,5000.56,CUST00158,Leeview
163,163,1/28/2019,Excavators(crawler),0.039784925,60,35,1,1,5000.56,CUST00164,Lake Elizabethberg
169,169,1/29/2019,Excavators(crawler),0.039605696,68,35,1,1,5000.56,CUST00170,Foxbury
175,175,3/15/2025,Excavators(crawler),0.031914767,76,35,1,1,5000.56,CUST00176,North Cassie
181,181,1/31/2019,Excavators(crawler),0.027449965,58,35,1,1,5000.56,CUST00182,West Alexander
187,187,2/1/2019,Excavators(crawler),0.034463806,56,35,1,1,5000.56,CUST00188,Lake Rebecca
193,193,2/2/2019,Excavators(crawler),0.038629891,70,35,1,1,5000.56,CUST00194,Lake Jason
199,199,2/3/2019,Excavators(crawler),0.025637758,56,35,1,1,5000.56,CUST00200,West Suzanne
205,205,2/4/2019,Excavators(crawler),0.028812108,71,35,1,1,5000.56,CUST00206,Lisahaven
211,211,2/5/2019,Excavators(crawler),0.03216967,81,35,1,1,5000.56,CUST00212,Melissashire
217,217,2/6/2019,Excavators(crawler),0.030429155,63,35,1,1,5000.56,CUST00218,South Jakefurt
223,223,2/7/2019,Excavators(crawler),0.032918451,58,35,1,1,5000.56,CUST00224,Williamsberg
229,229,2/8/2019,Excavators(crawler),0.029616648,67,35,1,1,5000.56,CUST00230,New Pamela
235,235,2/9/2019,Excavators(crawler),0.024112317,52,35,1,1,5000.56,CUST00236,Sonyaton
