Unnamed: 0,Un_Named,Date,Infrastructure_Machineries,Daily_Sales_Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region
2,2,1/1/2019,Loaders (Wheeled),0.034463806,70,35,1,1,5000.56,CUST00003,South Christophermouth
8,8,1/2/2019,Loaders (Wheeled),0.038629891,85,35,1,1,5000.56,CUST00009,North Jacquelineville
14,14,1/3/2019,Loaders (Wheeled),0.025637758,53,35,1,1,5000.56,CUST00015,Fieldsborough
20,20,,Loaders (Wheeled),-0.028812108,56,35,1,1,5000.56,CUST00021,Walshstad
26,26,1/5/2019,Loaders (Wheeled),0.03216967,61,35,1,1,5000.56,CUST00027,Michaelport
32,32,1/6/2019,Loaders (Wheeled),0.030429155,63,35,1,1,5000.56,CUST00033,South Nathanchester
38,38,1/7/2019,Loaders (Wheeled),0.032918451,69,35,1,1,5000.56,CUST00039,Jimenezberg
44,44,,Loaders (Wheeled),0.029616648,77,35,1,1,5000.56,CUST00045,West Kathrynland
50,50,3/15/2025,Loaders (Wheeled),0.024112317,67,35,1,1,5000.56,CUST00051,Joannafort
56,56,1/10/2019,Loaders (Wheeled),0.0310465,64,35,1,1,5000.56,CUST00057,New Bradleyport
62,62,1/11/2019,Loaders (Wheeled),0.037721796,74,35,1,1,5000.56,CUST00063,Danielfort
68,68,1/12/2019,Loaders (Wheeled),0.035710445,69,35,1,1,5000.56,CUST00069,East Chris
74,74,1/13/2019,Loaders (Wheeled),0.028760331,55,35,1,1,5000.56,CUST00075,Lake Jessemouth
80,80,,Loaders (Wheeled),-0.026968037,44,35,1,1,5000.56,CUST00081,Jamestown
86,86,1/15/2019,Loaders (Wheeled),0.030620333,62,35,1,1,5000.56,CUST00087,Trevorton
92,92,1/16/2019,Loaders (Wheeled),0.032464403,84,35,1,1,5000.56,CUST00093,East Carl
98,98,1/17/2019,Loaders (Wheeled),0.0378373,46,35,1,1,5000.56,CUST00099,Jessicabury
104,104,1/18/2019,Loaders (Wheeled),0.03203027,78,35,1,1,5000.56,CUST00105,New Linda
110,110,,Loaders (Wheeled),0.029959176,77,35,1,1,5000.56,CUST00111,North Sharishire
116,116,1/20/2019,Loaders (Wheeled),0.034874042,63,35,1,1,5000.56,CUST00117,Robertland
122,122,1/21/2019,Loaders (Wheeled),0.02726277,53,35,1,1,5000.56,CUST00123,Amychester
128,128,1/22/2019,Loaders (Wheeled),0.029110823,74,35,1,1,5000.56,CUST00129,West Joseph
134,134,1/23/2019,Loaders (Wheeled),0.027370308,76,35,1,1,5000.56,CUST00135,South Susanbury
140,140,,Loaders (Wheeled),-0.033687145,41,35,1,1,5000.56,CUST00141,East Daniellestad
146,146,1/25/2019,Loaders (Wheeled),0.037494772,71,35,1,1,5000.56,CUST00147,Lake Tonyaport
152,152,1/26/2019,Loaders (Wheeled),0.035355969,81,35,1,1,5000.56,CUST00153,New Miguelburgh
158,158,1/27/2019,Loaders (Wheeled),0.036180424,53,35,1,1,5000.56,CUST00159,Gibsonville
164,164,1/28/2019,Loaders (Wheeled),0.039784925,77,35,1,1,5000.56,CUST00165,Carlsonville
