Unnamed: 0,Un_Named,Date,Infrastructure_Machineries,Daily_Sales_Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region
0,0,,Skid Steer Loaders,-0.034463806,9,35,1,1,5000.56,CUST00001,Sherrichester
3,3,1/1/2019,Skid Steer Loaders,0.034463806,70,35,1,1,5000.56,CUST00004,Juliashire
9,9,1/2/2019,Skid Steer Loaders,0.038629891,64,35,1,1,5000.56,CUST00010,South Justinstad
15,15,1/3/2019,Skid Steer Loaders,0.025637758,62,35,1,1,5000.56,CUST00016,Kennedyton
21,21,1/4/2019,Skid Steer Loaders,0.028812108,60,35,1,1,5000.56,CUST00022,Roberthaven
27,27,1/5/2019,Skid Steer Loaders,0.03216967,73,35,1,1,5000.56,CUST00028,Lake Craig
30,30,,Skid Steer Loaders,0.030429155,71,35,1,1,5000.56,CUST00031,North Marychester
33,33,1/6/2019,Skid Steer Loaders,0.030429155,72,35,1,1,5000.56,CUST00034,Josephmouth
39,39,1/7/2019,Skid Steer Loaders,0.032918451,78,35,1,1,5000.56,CUST00040,Turnerland
45,45,1/8/2019,Skid Steer Loaders,0.029616648,63,35,1,1,5000.56,CUST00046,Port Amandashire
51,51,1/9/2019,Skid Steer Loaders,0.024112317,72,35,1,1,5000.56,CUST00052,Port Anthonyside
57,57,1/10/2019,Skid Steer Loaders,0.0310465,60,35,1,1,5000.56,CUST00058,Pughstad
60,60,,Skid Steer Loaders,-0.037721796,34,35,1,1,5000.56,CUST00061,Doughertyfurt
63,63,1/11/2019,Skid Steer Loaders,0.037721796,73,35,1,1,5000.56,CUST00064,South Alyssaburgh
69,69,1/12/2019,Skid Steer Loaders,0.035710445,69,35,1,1,5000.56,CUST00070,Lake Natasha
75,75,3/15/2025,Skid Steer Loaders,0.028760331,75,35,1,1,5000.56,CUST00076,Kathleenmouth
81,81,1/14/2019,Skid Steer Loaders,0.026968037,71,35,1,1,5000.56,CUST00082,Port Feliciabury
87,87,1/15/2019,Skid Steer Loaders,0.030620333,55,35,1,1,5000.56,CUST00088,Port Tabitha
90,90,,Skid Steer Loaders,0.032464403,39,35,1,1,5000.56,CUST00091,Alexanderport
93,93,1/16/2019,Skid Steer Loaders,0.032464403,69,35,1,1,5000.56,CUST00094,Annaberg
99,99,1/17/2019,Skid Steer Loaders,0.0378373,72,35,1,1,5000.56,CUST00100,Port Margaret
105,105,1/18/2019,Skid Steer Loaders,0.03203027,54,35,1,1,5000.56,CUST00106,Cainberg
111,111,1/19/2019,Skid Steer Loaders,0.029959176,71,35,1,1,5000.56,CUST00112,East Douglashaven
117,117,1/20/2019,Skid Steer Loaders,0.034874042,48,35,1,1,5000.56,CUST00118,New Reginaport
120,120,,Skid Steer Loaders,-0.02726277,46,35,1,1,5000.56,CUST00121,South Denisehaven
123,123,1/21/2019,Skid Steer Loaders,0.02726277,63,35,1,1,5000.56,CUST00124,New Barbarabury
129,129,1/22/2019,Skid Steer Loaders,0.029110823,65,35,1,1,5000.56,CUST00130,East Michelleland
135,135,1/23/2019,Skid Steer Loaders,0.027370308,65,35,1,1,5000.56,CUST00136,West Jonathanshire
141,141,1/24/2019,Skid Steer Loaders,0.033687145,71,35,1,1,5000.56,CUST00142,Katherineport
147,147,1/25/2019,Skid Steer Loaders,0.037494772,78,35,1,1,5000.56,CUST00148,Port Amyside
150,150,3/15/2025,Skid Steer Loaders,0.035355969,67,35,1,1,5000.56,CUST00151,West David
153,153,1/26/2019,Skid Steer Loaders,0.035355969,62,35,1,1,5000.56,CUST00154,Calderonland
