Unnamed: 0,Un_Named,Date,Infrastructure_Machineries,Daily_Sales_Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Customer_Id,Region
5,5,1/1/2019,Tele Handlers ,0.034463806,61,35,1,1,5000.56,CUST00006,West Brandonburgh
11,11,1/2/2019,Tele Handlers ,0.038629891,79,35,1,1,5000.56,CUST00012,Rodneychester
17,17,1/3/2019,Tele Handlers ,0.025637758,66,35,1,1,5000.56,CUST00018,North Rogerstad
23,23,1/4/2019,Tele Handlers ,0.028812108,62,35,1,1,5000.56,CUST00024,Parkerchester
29,29,1/5/2019,Tele Handlers ,0.03216967,76,35,1,1,5000.56,CUST00030,East Courtneyhaven
35,35,1/6/2019,Tele Handlers ,0.030429155,54,35,1,1,5000.56,CUST00036,Paceton
41,41,1/7/2019,Tele Handlers ,0.032918451,62,35,1,1,5000.56,CUST00042,Deanport
47,47,1/8/2019,Tele Handlers ,0.029616648,66,35,1,1,5000.56,CUST00048,Danielside
53,53,1/9/2019,Tele Handlers ,0.024112317,62,35,1,1,5000.56,CUST00054,Lake Jenniferview
59,59,1/10/2019,Tele Handlers ,0.0310465,55,35,1,1,5000.56,CUST00060,Erikville
65,65,1/11/2019,Tele Handlers ,0.037721796,50,35,1,1,5000.56,CUST00066,North Keithfort
71,71,1/12/2019,Tele Handlers ,0.035710445,71,35,1,1,5000.56,CUST00072,New Johnberg
77,77,1/13/2019,Tele Handlers ,0.028760331,59,35,1,1,5000.56,CUST00078,South Devinton
83,83,1/14/2019,Tele Handlers ,0.026968037,59,35,1,1,5000.56,CUST00084,Kellyfort
89,89,1/15/2019,Tele Handlers ,0.030620333,64,35,1,1,5000.56,CUST00090,Lewisbury
95,95,1/16/2019,Tele Handlers ,0.032464403,67,35,1,1,5000.56,CUST00096,East Andreamouth
101,101,1/17/2019,Tele Handlers ,0.0378373,71,35,1,1,5000.56,CUST00102,East Dustinville
107,107,1/18/2019,Tele Handlers ,0.03203027,74,35,1,1,5000.56,CUST00108,North Kristen
113,113,1/19/2019,Tele Handlers ,0.029959176,46,35,1,1,5000.56,CUST00114,Port Brentfurt
119,119,1/20/2019,Tele Handlers ,0.034874042,75,35,1,1,5000.56,CUST00120,Port Gregory
125,125,3/15/2025,Tele Handlers ,0.02726277,65,35,1,1,5000.56,CUST00126,Kathrynburgh
131,131,1/22/2019,Tele Handlers ,0.029110823,79,35,1,1,5000.56,CUST00132,Riosmouth
137,137,1/23/2019,Tele Handlers ,0.027370308,63,35,1,1,5000.56,CUST00138,West Michaeltown
143,143,1/24/2019,Tele Handlers ,0.033687145,69,35,1,1,5000.56,CUST00144,Markfort
149,149,1/25/2019,Tele Handlers ,0.037494772,66,35,1,1,5000.56,CUST00150,Williamstown
155,155,1/26/2019,Tele Handlers ,0.035355969,66,35,1,1,5000.56,CUST00156,West Matthew
161,161,1/27/2019,Tele Handlers ,0.036180424,69,35,1,1,5000.56,CUST00162,North Elizabeth
167,167,1/28/2019,Tele Handlers ,0.039784925,65,35,1,1,5000.56,CUST00168,New Megan
173,173,1/29/2019,Tele Handlers ,0.039605696,81,35,1,1,5000.56,CUST00174,Lawrencehaven
179,179,1/30/2019,Tele Handlers ,0.031914767,80,35,1,1,5000.56,CUST00180,West Beth
185,185,1/31/2019,Tele Handlers ,0.027449965,70,35,1,1,5000.56,CUST00186,Sophiamouth
191,191,2/1/2019,Tele Handlers ,0.034463806,81,35,1,1,5000.56,CUST00192,Lake Kevinport
197,197,2/2/2019,Tele Handlers ,0.038629891,74,35,1,1,5000.56,CUST00198,Harrisport
203,203,2/3/2019,Tele Handlers ,0.025637758,49,35,1,1,5000.56,CUST00204,Ramirezshire
209,209,2/4/2019,Tele Handlers ,0.028812108,94,35,1,1,5000.56,CUST00210,New Heather
215,215,2/5/2019,Tele Handlers ,0.03216967,82,35,1,1,5000.56,CUST00216,North Sean
221,221,2/6/2019,Tele Handlers ,0.030429155,59,35,1,1,5000.56,CUST00222,New Joshua
227,227,2/7/2019,Tele Handlers ,0.032918451,65,35,1,1,5000.56,CUST00228,Colinchester
233,233,2/8/2019,Tele Handlers ,0.029616648,72,35,1,1,5000.56,CUST00234,East Phillipton
239,239,2/9/2019,Tele Handlers ,0.024112317,74,35,1,1,5000.56,CUST00240,Lake Michelleburgh
245,245,2/10/2019,Tele Handlers ,0.0310465,65,35,1,1,5000.56,CUST00246,Saraland
251,251,2/11/2019,Tele Handlers ,0.037721796,59,35,1,1,5000.56,CUST00252,South Olivia
257,257,2/12/2019,Tele Handlers ,0.035710445,74,35,1,1,5000.56,CUST00258,Blankenshiptown
263,263,2/13/2019,Tele Handlers ,0.028760331,51,35,1,1,5000.56,CUST00264,Joelberg
269,269,2/14/2019,Tele Handlers ,0.026968037,70,35,1,1,5000.56,CUST00270,Lake Pamela
275,275,3/15/2025,Tele Handlers ,0.030620333,68,35,1,1,5000.56,CUST00276,Port Kylie
281,281,2/16/2019,Tele Handlers ,0.032464403,94,35,1,1,5000.56,CUST00282,West Kimberlyville
287,287,2/17/2019,Tele Handlers ,0.0378373,50,35,1,1,5000.56,CUST00288,Roymouth
293,293,2/18/2019,Tele Handlers ,0.03203027,79,35,1,1,5000.56,CUST00294,Brittanyside
299,299,2/19/2019,Tele Handlers ,0.029959176,88,35,1,1,5000.56,CUST00300,Alexanderton
305,305,2/20/2019,Tele Handlers ,0.034874042,65,35,1,1,5000.56,CUST00306,East Joseburgh
311,311,2/21/2019,Tele Handlers ,0.02726277,78,35,1,1,5000.56,CUST00312,North Linda
317,317,2/22/2019,Tele Handlers ,0.029110823,51,35,1,1,5000.56,CUST00318,Campbellton
323,323,2/23/2019,Tele Handlers ,0.027370308,65,35,1,1,5000.56,CUST00324,Vasquezstad
329,329,2/24/2019,Tele Handlers ,0.033687145,75,35,1,1,5000.56,CUST00330,Amberhaven
335,335,2/25/2019,Tele Handlers ,0.037494772,68,35,1,1,5000.56,CUST00336,North Edwardbury
341,341,2/26/2019,Tele Handlers ,0.035355969,57,35,1,1,5000.56,CUST00342,Lake Martha
347,347,2/27/2019,Tele Handlers ,0.036180424,77,35,1,1,5000.56,CUST00348,New Katherineside
353,353,2/28/2019,Tele Handlers ,0.039784925,88,35,1,1,5000.56,CUST00354,Floydmouth
359,359,3/1/2019,Tele Handlers ,0.034463806,70,35,1,1,5078.56,CUST00360,Pricechester
365,365,3/2/2019,Tele Handlers ,0.038629891,94,35,1,1,5078.56,CUST00366,Robertfurt
371,371,3/3/2019,Tele Handlers ,0.025637758,64,35,1,1,5078.56,CUST00372,Combsfort
377,377,3/4/2019,Tele Handlers ,0.028812108,58,35,1,1,5078.56,CUST00378,Port Nicholeville
383,383,3/5/2019,Tele Handlers ,0.03216967,76,35,1,1,5078.56,CUST00384,Justinburgh
389,389,3/6/2019,Tele Handlers ,0.030429155,85,35,1,1,5078.56,CUST00390,Darrylshire
395,395,3/7/2019,Tele Handlers ,0.032918451,70,35,1,1,5078.56,CUST00396,Alitown
401,401,3/8/2019,Tele Handlers ,0.029616648,77,35,1,1,5078.56,CUST00402,Port Williamfort
407,407,3/9/2019,Tele Handlers ,0.024112317,73,35,1,1,5078.56,CUST00408,Port Derek
413,413,3/10/2019,Tele Handlers ,0.0310465,59,35,1,1,5078.56,CUST00414,Lake Johnchester
419,419,3/11/2019,Tele Handlers ,0.037721796,64,35,1,1,5078.56,CUST00420,New Mollyshire
425,425,3/15/2025,Tele Handlers ,0.035710445,80,35,1,1,5078.56,CUST00426,South Courtney
431,431,3/13/2019,Tele Handlers ,0.028760331,79,35,1,1,5078.56,CUST00432,Gilesview
437,437,3/14/2019,Tele Handlers ,0.026968037,74,35,1,1,5078.56,CUST00438,Lake Normabury
443,443,3/15/2019,Tele Handlers ,0.030620333,79,35,1,1,5078.56,CUST00444,Morganbury
449,449,3/16/2019,Tele Handlers ,0.032464403,79,35,1,1,5078.56,CUST00450,Port Jeffrey
455,455,3/17/2019,Tele Handlers ,0.0378373,59,35,1,1,5078.56,CUST00456,Port Shanehaven
461,461,3/18/2019,Tele Handlers ,0.03203027,80,35,1,1,5078.56,CUST00462,New Melissaborough
467,467,3/19/2019,Tele Handlers ,0.029959176,60,35,1,1,5078.56,CUST00468,East Richardmouth
